courseID,courseTitle,URL,outcomeLearning,provider,technologySkill,rating,peopleRating,numStudent,duration,durationSecond,fee,feeVND,level,majobSubject,language
COURSE_278,"Learn CSS",https://www.codecademy.com/learn/learn-css,"Learn how to style individual and groups of elements using various visual CSS rules.Learn how to use the Box Model to position HTML elements on your web page.Learn CSS rules for displaying and positioning elements on your web page. Learn all about choosing and setting CSS colors using a variety of techniques. Learn all about CSS typography, such as how to include fonts from other sources and how to style your text. Learn CSS Flexbox to create flexible page layouts. master a technology that was recently added to CSS! This is a long-awaited improvement to laying-out and positioning elements on web pages. Implement CSS animation using transitions",Codecademy,"CSS, HTML",4.6,9794,490362,10:00:00,36000,0,0,Intermediate,"Web Design",English
COURSE_279,"Learn Sass",https://www.codecademy.com/learn/learn-sass,"Style your own lemonade stand's website by compiling Sass and learning to use variables and nested selectors. Learn how to use mixins and the & selector to create an interactive index card that flips when you hover. Learn to use Sass functions, loops, and conditions to style different components of a webpage. Learn about the best Sass practices such as partial files, placeholders and @import.",Codecademy,"SASS, SCSS, CSS",4.6,9794,184540,7:00:00,25200,0,0,Intermediate,"Web Design",English
COURSE_280,"Learn Navigation Design",https://www.codecademy.com/learn/learn-navigation-design,"Learn best practices and implementations for demonstrating interaction and interactivity to your website's visitors. Learn how to use breadcrumbs in your UI design.",Codecademy,UI,4.6,9794,4500000,4:00:00,14400,0,0,Intermediate,"Web Design",English
COURSE_281,"Learn Bootstrap",https://www.codecademy.com/learn/learn-bootstrap,"Learn how to use one of the most popular front-end frameworks, Bootstrap 4, to quickly layout and style your website",Codecademy,"Bootstrap, Bootstrap 4, HTML, CSS, JavaScript",4.6,9794,4500000,3:00:00,10800,0,0,Intermediate,"Web Design",English
COURSE_282,"Learn A-Frame (VR)",https://www.codecademy.com/learn/learn-a-frame,"Introduction a A-Frame. A brief introduction into the world of WebVR. Building the Scene. Learn to build an environment for your virtual world. Writing a Component (Coming Soon). Learn how to create reusable code that can be attached to entities to provide appearance, behavior, and/or functionality.",Codecademy,"WebVR, HTML",4.6,9794,4500000,6:00:00,21600,0,0,Intermediate,"Game Development",English
COURSE_283,"Learn Game Development with Phaser.js",https://www.codecademy.com/learn/learn-phaser,"Master the basics of Phaser in this course that takes you from beginner to game developer. Learn how to incorporate physics into your Phaser games. Learn the power of using multiple scenes in a Phaser game and harness the ability to animate sprites inside your games. Learn about Phaser's camera effects and other visual tools to help your games stand out!",Codecademy,"Phaser.js, Phaser",4.6,9794,4500000,9:00:00,32400,0,0,Intermediate,"Game Development",English
COURSE_284,"Build Basic Android Apps with Java",https://www.codecademy.com/learn/paths/introduction-to-android-with-java,"Android and Java foundations. Wireframe your first app, learn about variables in Java, and dig into the Android Studio IDE. Learn about programming logic in Java and continue to build the Unquote trivia game. Learn about arrays and Loops in Java and continue to build out the Unquote game. Android App Development. Really dig into Android development fundamentals by working with Android Layouts and Views and handling user interactions. intermediate Java and Capstone Project. Pick up more Java programming skills and complete your Unquote application",Codecademy,"Android, Android Studio, Java, XML, Wireframe",4.6,9794,1625989,10:00:00,36000,0,0,Beginner,"Mobile Development",English
COURSE_285,"Learn Java",https://www.codecademy.com/learn/learn-java,"Learn about datatypes in Java and how we use them. Then, practice your skills with two projects where you create and manipulate variables. Learn about object-oriented programming in Java. Explore syntax for defining classes and creating instances. Build lists of data with Java arrays and ArrayLists. Use loops to iterate through lists and repeat code. The Java String class provides a lot of useful methods for performing operations on strings and data manipulation. Access, Encapsulation and Static Methods. Let's dive deeper into classes and learn about some of their more advanced features. Dive deeper into object-oriented Java with inheritance and polymorphism. Debugging. Learn about different types of errors in Java and practice finding them. Two - dimensional arrays. Take your understanding of arrays and loops to the next dimension! Learn how to create and use two-dimensional arrays.",Codecademy,"Java, OOP",4.6,9794,2360524,1:00:00,3600,0,0,Beginner,"Mobile Development",English
COURSE_286,"Learn Kotlin",https://www.codecademy.com/learn/learn-kotlin,"Introduction to Kotlin. Get started with Kotlin by learning everything you need to know to create your first basic program. Learn about variables and the various data types that are supported in Kotlin. Learn how to control the flow of code execution with conditional expressions. Learn about the various types of collections that exist in Kotlin including lists, sets, and maps. Learn how to effectively implement code repetition in Kotlin. Learn how to create and call user-designed functions in your Kotlin programs. Get introduced to the world of object-oriented programming in Kotlin and learn how to create classes and objects.",Codecademy,Kotlin,4.6,9794,4500000,15:00:00,54000,0,0,Beginner,"Mobile Development",English
COURSE_287,"Learn Swift",https://www.codecademy.com/learn/learn-swift,"Write and run your very first Swift program. Introduction to variables and basic data types. Learn how to develop complex programs in Swift with conditionals and logical operators. Make the most repetitive tasks easier by learning Swift loops. Learn how to use Swift arrays and sets to keep your data organized. Learn how to store pairs of data using the dictionary collection type. Learn how to write and interact with functions in Swift. Model everyday objects using structures. Model everyday objects using classes!",Codecademy,Swift,4.6,9794,4500000,1:00:00,3600,0,0,Beginner,"Mobile Development",English
